==========================================================================================
Layer (type:depth-idx)                   Output Shape              Param #
==========================================================================================
ResNet                                   [1, 1000]                 --
│    │    └─ReLU: 3-187                  [1, 512, 7, 7]            --
│    │    └─Conv2d: 3-188                [1, 490, 7, 7]            2,257,920
│    │    └─BatchNorm2d: 3-189           [1, 490, 7, 7]            980
│    │    └─Identity: 3-190              [1, 490, 7, 7]            --
│    │    └─ReLU: 3-191                  [1, 490, 7, 7]            --
│    │    └─Identity: 3-192              [1, 490, 7, 7]            --
│    │    └─Conv2d: 3-193                [1, 2022, 7, 7]           990,780
│    │    └─BatchNorm2d: 3-194           [1, 2022, 7, 7]           4,044
│    │    └─EcaModule: 3-195             [1, 2022, 7, 7]           7
│    │    └─ReLU: 3-196                  [1, 2022, 7, 7]           --
├─SelectAdaptivePool2d: 1-9              [1, 2022]                 --
│    └─AdaptiveAvgPool2d: 2-24           [1, 2022, 1, 1]           --
│    └─Flatten: 2-25                     [1, 2022]                 --
├─Linear: 1-10                           [1, 1000]                 2,023,000
==========================================================================================
Total params: 19,939,713
Trainable params: 19,939,713
Non-trainable params: 0
Total mult-adds (G): 2.52
==========================================================================================
Input size (MB): 0.60
Forward/backward pass size (MB): 102.71
Params size (MB): 79.76
Estimated Total Size (MB): 183.08
==========================================================================================
