==========================================================================================
Layer (type:depth-idx)                   Output Shape              Param #
==========================================================================================
ResNet                                   [1, 1000]                 --
│    │    └─Conv2d: 3-116                [1, 128, 32, 32]          147,456
│    │    └─BatchNorm2d: 3-117           [1, 128, 32, 32]          256
│    │    └─Identity: 3-118              [1, 128, 32, 32]          --
│    │    └─ReLU: 3-119                  [1, 128, 32, 32]          --
│    │    └─Identity: 3-120              [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-121                [1, 512, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-122           [1, 512, 32, 32]          1,024
│    │    └─ReLU: 3-123                  [1, 512, 32, 32]          --
│    └─Bottleneck: 2-19                  [1, 512, 32, 32]          --
│    │    └─Conv2d: 3-124                [1, 128, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-125           [1, 128, 32, 32]          256
│    │    └─ReLU: 3-126                  [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-127                [1, 128, 32, 32]          147,456
│    │    └─BatchNorm2d: 3-128           [1, 128, 32, 32]          256
│    │    └─Identity: 3-129              [1, 128, 32, 32]          --
│    │    └─ReLU: 3-130                  [1, 128, 32, 32]          --
│    │    └─Identity: 3-131              [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-132                [1, 512, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-133           [1, 512, 32, 32]          1,024
│    │    └─ReLU: 3-134                  [1, 512, 32, 32]          --
│    └─Bottleneck: 2-20                  [1, 512, 32, 32]          --
│    │    └─Conv2d: 3-135                [1, 128, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-136           [1, 128, 32, 32]          256
│    │    └─ReLU: 3-137                  [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-138                [1, 128, 32, 32]          147,456
│    │    └─BatchNorm2d: 3-139           [1, 128, 32, 32]          256
│    │    └─Identity: 3-140              [1, 128, 32, 32]          --
│    │    └─ReLU: 3-141                  [1, 128, 32, 32]          --
│    │    └─Identity: 3-142              [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-143                [1, 512, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-144           [1, 512, 32, 32]          1,024
│    │    └─ReLU: 3-145                  [1, 512, 32, 32]          --
│    └─Bottleneck: 2-21                  [1, 512, 32, 32]          --
│    │    └─Conv2d: 3-146                [1, 128, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-147           [1, 128, 32, 32]          256
│    │    └─ReLU: 3-148                  [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-149                [1, 128, 32, 32]          147,456
│    │    └─BatchNorm2d: 3-150           [1, 128, 32, 32]          256
│    │    └─Identity: 3-151              [1, 128, 32, 32]          --
│    │    └─ReLU: 3-152                  [1, 128, 32, 32]          --
│    │    └─Identity: 3-153              [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-154                [1, 512, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-155           [1, 512, 32, 32]          1,024
│    │    └─ReLU: 3-156                  [1, 512, 32, 32]          --
│    └─Bottleneck: 2-22                  [1, 512, 32, 32]          --
│    │    └─Conv2d: 3-157                [1, 128, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-158           [1, 128, 32, 32]          256
│    │    └─ReLU: 3-159                  [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-160                [1, 128, 32, 32]          147,456
│    │    └─BatchNorm2d: 3-161           [1, 128, 32, 32]          256
│    │    └─Identity: 3-162              [1, 128, 32, 32]          --
│    │    └─ReLU: 3-163                  [1, 128, 32, 32]          --
│    │    └─Identity: 3-164              [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-165                [1, 512, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-166           [1, 512, 32, 32]          1,024
│    │    └─ReLU: 3-167                  [1, 512, 32, 32]          --
│    └─Bottleneck: 2-23                  [1, 512, 32, 32]          --
│    │    └─Conv2d: 3-168                [1, 128, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-169           [1, 128, 32, 32]          256
│    │    └─ReLU: 3-170                  [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-171                [1, 128, 32, 32]          147,456
│    │    └─BatchNorm2d: 3-172           [1, 128, 32, 32]          256
│    │    └─Identity: 3-173              [1, 128, 32, 32]          --
│    │    └─ReLU: 3-174                  [1, 128, 32, 32]          --
│    │    └─Identity: 3-175              [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-176                [1, 512, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-177           [1, 512, 32, 32]          1,024
│    │    └─ReLU: 3-178                  [1, 512, 32, 32]          --
│    └─Bottleneck: 2-24                  [1, 512, 32, 32]          --
│    │    └─Conv2d: 3-179                [1, 128, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-180           [1, 128, 32, 32]          256
│    │    └─ReLU: 3-181                  [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-182                [1, 128, 32, 32]          147,456
│    │    └─BatchNorm2d: 3-183           [1, 128, 32, 32]          256
│    │    └─Identity: 3-184              [1, 128, 32, 32]          --
│    │    └─ReLU: 3-185                  [1, 128, 32, 32]          --
│    │    └─Identity: 3-186              [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-187                [1, 512, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-188           [1, 512, 32, 32]          1,024
│    │    └─ReLU: 3-189                  [1, 512, 32, 32]          --
│    └─Bottleneck: 2-25                  [1, 512, 32, 32]          --
│    │    └─Conv2d: 3-190                [1, 128, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-191           [1, 128, 32, 32]          256
│    │    └─ReLU: 3-192                  [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-193                [1, 128, 32, 32]          147,456
│    │    └─BatchNorm2d: 3-194           [1, 128, 32, 32]          256
│    │    └─Identity: 3-195              [1, 128, 32, 32]          --
│    │    └─ReLU: 3-196                  [1, 128, 32, 32]          --
│    │    └─Identity: 3-197              [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-198                [1, 512, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-199           [1, 512, 32, 32]          1,024
│    │    └─ReLU: 3-200                  [1, 512, 32, 32]          --
│    └─Bottleneck: 2-26                  [1, 512, 32, 32]          --
│    │    └─Conv2d: 3-201                [1, 128, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-202           [1, 128, 32, 32]          256
│    │    └─ReLU: 3-203                  [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-204                [1, 128, 32, 32]          147,456
│    │    └─BatchNorm2d: 3-205           [1, 128, 32, 32]          256
│    │    └─Identity: 3-206              [1, 128, 32, 32]          --
│    │    └─ReLU: 3-207                  [1, 128, 32, 32]          --
│    │    └─Identity: 3-208              [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-209                [1, 512, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-210           [1, 512, 32, 32]          1,024
│    │    └─ReLU: 3-211                  [1, 512, 32, 32]          --
│    └─Bottleneck: 2-27                  [1, 512, 32, 32]          --
│    │    └─Conv2d: 3-212                [1, 128, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-213           [1, 128, 32, 32]          256
│    │    └─ReLU: 3-214                  [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-215                [1, 128, 32, 32]          147,456
│    │    └─BatchNorm2d: 3-216           [1, 128, 32, 32]          256
│    │    └─Identity: 3-217              [1, 128, 32, 32]          --
│    │    └─ReLU: 3-218                  [1, 128, 32, 32]          --
│    │    └─Identity: 3-219              [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-220                [1, 512, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-221           [1, 512, 32, 32]          1,024
│    │    └─ReLU: 3-222                  [1, 512, 32, 32]          --
│    └─Bottleneck: 2-28                  [1, 512, 32, 32]          --
│    │    └─Conv2d: 3-223                [1, 128, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-224           [1, 128, 32, 32]          256
